,clockticks,wolves,moose,squirrels,wolf_births,wolf_starved,wolf_old_age,moose_eaten,moose_births,moose_starved,moose_old_age,squirrels_born,squirrels_eaten,squirrels_starved,squirrels_old_age,vegetation_fraction
0,0.0,100.0,400.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8618666666666667
1,1.0,100.0,415.0,263.0,0.0,0.0,0.0,46.0,61.0,0.0,0.0,19.0,6.0,0.0,0.0,0.7681777777777777
2,2.0,100.0,386.0,277.0,0.0,0.0,0.0,33.0,4.0,0.0,0.0,19.0,5.0,0.0,0.0,0.7136
3,3.0,104.0,362.0,273.0,4.0,0.0,0.0,26.0,2.0,0.0,0.0,9.0,7.0,6.0,0.0,0.6984888888888889
4,4.0,107.0,354.0,277.0,3.0,0.0,0.0,13.0,5.0,0.0,0.0,10.0,4.0,2.0,0.0,0.6912
5,5.0,113.0,341.0,290.0,6.0,0.0,0.0,21.0,8.0,0.0,0.0,20.0,5.0,2.0,0.0,0.6881777777777778
6,6.0,121.0,327.0,283.0,8.0,0.0,0.0,24.0,10.0,0.0,0.0,5.0,4.0,8.0,0.0,0.6561777777777777
7,7.0,125.0,309.0,272.0,4.0,0.0,0.0,21.0,3.0,0.0,0.0,2.0,10.0,3.0,0.0,0.7706666666666667
8,8.0,132.0,297.0,289.0,7.0,0.0,0.0,20.0,8.0,0.0,0.0,21.0,3.0,1.0,0.0,0.7601777777777777
9,9.0,136.0,290.0,282.0,4.0,0.0,0.0,19.0,12.0,0.0,0.0,2.0,7.0,2.0,0.0,0.7450666666666667
10,10.0,141.0,287.0,288.0,5.0,0.0,0.0,14.0,11.0,0.0,0.0,17.0,9.0,2.0,0.0,0.7132444444444445
11,11.0,145.0,279.0,292.0,4.0,0.0,0.0,18.0,10.0,0.0,0.0,9.0,5.0,0.0,0.0,0.6931555555555555
12,12.0,152.0,272.0,295.0,9.0,2.0,0.0,14.0,7.0,0.0,0.0,17.0,9.0,5.0,0.0,0.7704888888888889
13,13.0,152.0,269.0,297.0,4.0,4.0,0.0,13.0,10.0,0.0,0.0,16.0,9.0,5.0,0.0,0.8030222222222222
14,14.0,153.0,260.0,303.0,3.0,2.0,0.0,19.0,10.0,0.0,0.0,13.0,5.0,2.0,0.0,0.7797333333333333
15,15.0,160.0,243.0,319.0,9.0,2.0,0.0,22.0,5.0,0.0,0.0,23.0,5.0,2.0,0.0,0.7632
16,16.0,158.0,233.0,323.0,0.0,2.0,0.0,13.0,3.0,0.0,0.0,12.0,5.0,3.0,0.0,0.7576888888888889
17,17.0,159.0,229.0,343.0,5.0,4.0,0.0,11.0,7.0,0.0,0.0,28.0,5.0,3.0,0.0,0.8056888888888889
18,18.0,162.0,222.0,359.0,6.0,3.0,0.0,11.0,4.0,0.0,0.0,23.0,6.0,1.0,0.0,0.8049777777777778
19,19.0,160.0,222.0,364.0,7.0,9.0,0.0,6.0,6.0,0.0,0.0,19.0,11.0,2.0,1.0,0.7962666666666667
20,20.0,155.0,218.0,358.0,3.0,8.0,0.0,10.0,6.0,0.0,0.0,8.0,12.0,0.0,2.0,0.7914666666666667
21,21.0,145.0,217.0,365.0,0.0,10.0,0.0,8.0,7.0,0.0,0.0,23.0,9.0,3.0,4.0,0.8065777777777777
22,22.0,141.0,212.0,369.0,2.0,6.0,0.0,13.0,8.0,0.0,0.0,13.0,6.0,2.0,1.0,0.8090666666666667
23,23.0,136.0,208.0,383.0,2.0,7.0,0.0,9.0,5.0,0.0,0.0,28.0,9.0,3.0,2.0,0.8113777777777778
24,24.0,128.0,205.0,376.0,1.0,9.0,0.0,8.0,5.0,0.0,0.0,5.0,9.0,0.0,3.0,0.8071111111111111
25,25.0,124.0,200.0,374.0,5.0,9.0,0.0,8.0,3.0,0.0,0.0,17.0,13.0,5.0,1.0,0.8208
26,26.0,117.0,204.0,364.0,3.0,10.0,0.0,5.0,9.0,0.0,0.0,7.0,11.0,3.0,3.0,0.8168888888888889
27,27.0,114.0,206.0,379.0,2.0,5.0,0.0,3.0,5.0,0.0,0.0,30.0,9.0,4.0,2.0,0.8227555555555556
28,28.0,110.0,202.0,375.0,4.0,8.0,0.0,9.0,5.0,0.0,0.0,11.0,9.0,3.0,3.0,0.8224
29,29.0,105.0,194.0,385.0,1.0,6.0,0.0,12.0,4.0,0.0,0.0,18.0,5.0,1.0,2.0,0.8286222222222223
30,30.0,102.0,188.0,386.0,1.0,4.0,0.0,10.0,4.0,0.0,0.0,10.0,3.0,1.0,5.0,0.8279111111111112
31,31.0,99.0,189.0,397.0,1.0,4.0,0.0,6.0,7.0,0.0,0.0,21.0,6.0,0.0,4.0,0.8252444444444444
32,32.0,95.0,190.0,402.0,2.0,6.0,0.0,6.0,7.0,0.0,0.0,17.0,7.0,2.0,3.0,0.8266666666666667
33,33.0,94.0,188.0,395.0,2.0,3.0,0.0,8.0,6.0,0.0,0.0,3.0,6.0,2.0,2.0,0.8328888888888889
34,34.0,89.0,190.0,413.0,2.0,7.0,0.0,3.0,5.0,0.0,0.0,25.0,5.0,1.0,1.0,0.8293333333333334
35,35.0,84.0,190.0,434.0,2.0,7.0,0.0,6.0,6.0,0.0,0.0,31.0,4.0,0.0,6.0,0.8295111111111111
36,36.0,83.0,191.0,461.0,2.0,3.0,0.0,3.0,4.0,0.0,0.0,37.0,7.0,0.0,3.0,0.8247111111111111
37,37.0,77.0,190.0,466.0,2.0,8.0,0.0,4.0,3.0,0.0,0.0,13.0,3.0,3.0,2.0,0.8273777777777778
38,38.0,77.0,191.0,485.0,2.0,2.0,0.0,6.0,7.0,0.0,0.0,32.0,8.0,2.0,3.0,0.8232888888888888
39,39.0,77.0,190.0,521.0,2.0,2.0,0.0,4.0,3.0,0.0,0.0,43.0,5.0,1.0,1.0,0.8215111111111111
40,40.0,73.0,191.0,526.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,19.0,3.0,3.0,8.0,0.8120888888888889
41,41.0,66.0,194.0,521.0,0.0,7.0,0.0,1.0,4.0,0.0,0.0,8.0,7.0,0.0,6.0,0.8176
42,42.0,68.0,194.0,524.0,7.0,5.0,0.0,6.0,6.0,0.0,0.0,16.0,6.0,0.0,7.0,0.8092444444444444
43,43.0,64.0,201.0,559.0,1.0,5.0,0.0,1.0,8.0,0.0,0.0,47.0,4.0,1.0,7.0,0.8055111111111111
44,44.0,61.0,203.0,593.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,49.0,5.0,2.0,8.0,0.7984
45,45.0,59.0,203.0,627.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,50.0,10.0,1.0,5.0,0.7971555555555555
46,46.0,60.0,207.0,631.0,1.0,0.0,0.0,3.0,7.0,0.0,0.0,22.0,7.0,4.0,7.0,0.7898666666666667
47,47.0,60.0,210.0,654.0,4.0,4.0,0.0,4.0,7.0,0.0,0.0,38.0,6.0,2.0,7.0,0.7831111111111111
48,48.0,58.0,214.0,690.0,2.0,4.0,0.0,3.0,7.0,0.0,0.0,51.0,6.0,3.0,6.0,0.7829333333333334
49,49.0,57.0,213.0,682.0,1.0,2.0,0.0,4.0,3.0,0.0,0.0,9.0,5.0,1.0,11.0,0.776
50,50.0,55.0,215.0,698.0,1.0,3.0,0.0,4.0,6.0,0.0,0.0,25.0,7.0,0.0,2.0,0.7681777777777777
